# Hungaroring — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
404.9826,-315.0746,257.5655,0.0000,0.000,6.178,5.992,1.0000
409.9823,-318.9373,260.7399,0.0000,0.000,6.184,5.979,1.0000
414.9821,-322.7993,263.9151,0.0000,0.000,6.189,5.965,1.0000
419.9818,-326.6607,267.0911,0.0000,0.000,6.195,5.951,1.0000
424.9815,-330.5213,270.2680,0.0000,0.000,6.201,5.937,1.0000
429.9813,-334.3812,273.4459,0.0000,0.000,6.207,5.923,1.0000
434.9810,-338.2403,276.6247,0.0000,0.000,6.213,5.910,1.0000
439.9807,-342.0985,279.8046,0.0000,0.000,6.218,5.896,1.0000
444.9805,-345.9559,282.9855,0.0000,0.000,6.224,5.882,1.0000
449.9803,-349.8122,286.1677,0.0000,0.000,6.230,5.868,1.0000
454.9801,-353.6676,289.3510,0.0000,0.000,6.236,5.854,1.0000
459.9798,-357.5220,292.5357,0.0000,0.000,6.242,5.841,1.0000
464.9797,-361.3752,295.7217,0.0000,0.000,6.248,5.827,1.0000
469.9795,-365.2274,298.9090,0.0000,0.000,6.253,5.813,1.0000
474.9793,-369.0783,302.0979,0.0000,0.000,6.259,5.799,1.0000
479.9792,-372.9280,305.2882,0.0000,0.000,6.265,5.785,1.0000
484.9791,-376.7765,308.4801,0.0000,0.000,6.271,5.772,1.0000
489.9790,-380.6236,311.6736,0.0000,0.000,6.277,5.758,1.0000
494.9789,-384.4694,314.8689,0.0000,0.000,6.282,5.744,1.0000
499.9789,-388.3137,318.0658,0.0000,0.000,6.288,5.730,1.0000
504.9789,-392.1566,321.2646,0.0000,0.000,6.294,5.716,1.0000
509.9789,-395.9981,324.4651,0.0000,0.000,6.300,5.703,1.0000
514.9790,-399.8387,327.6667,0.0000,0.000,6.306,5.689,1.0000
519.9790,-403.6793,330.8684,0.0000,0.000,6.311,5.675,1.0000
524.9791,-407.5205,334.0693,0.0000,0.000,6.317,5.661,1.0000
529.9792,-411.3633,337.2685,0.0000,0.000,6.323,5.647,1.0000
534.9793,-415.2083,340.4648,0.0000,0.000,6.329,5.634,1.0000
539.9795,-419.0564,343.6576,0.0000,0.000,6.335,5.620,1.0000
544.9796,-422.9083,346.8456,0.0000,0.000,6.341,5.606,1.0000
549.9797,-426.7649,350.0281,0.0000,0.000,6.346,5.592,1.0000
554.9799,-430.6269,353.2040,0.0000,0.000,6.352,5.578,1.0000
559.9801,-434.4951,356.3725,0.0000,0.000,6.358,5.565,1.0000
564.9804,-438.3703,359.5324,0.0000,0.000,6.364,5.551,1.0000
569.9808,-442.2533,362.6830,0.0000,0.000,6.370,5.537,1.0000
574.9813,-446.1448,365.8233,0.0000,0.000,6.375,5.523,1.0000
579.9810,-450.0367,368.9619,0.0000,0.000,6.381,5.509,1.0000
584.9771,-453.9024,372.1270,0.0000,0.000,6.387,5.496,1.0000
589.9676,-457.7132,375.3491,0.0000,0.000,6.393,5.482,1.0000
594.9522,-461.4404,378.6588,0.0000,0.000,6.399,5.468,1.0000
599.9339,-465.0551,382.0868,0.0000,0.000,6.405,5.454,1.0000
604.9197,-468.5287,385.6635,0.0000,0.000,6.887,5.495,1.0000
609.9206,-471.8297,389.4202,0.0000,0.000,6.569,6.409,1.0000
614.9136,-474.8401,393.4036,0.0000,0.000,6.377,7.214,1.0000
619.8663,-477.3391,397.6795,0.0000,0.000,7.021,7.284,1.0000
624.8246,-479.0997,402.3148,0.0000,0.000,7.814,7.286,1.0000
629.9016,-479.9077,407.3270,0.0000,0.000,8.172,7.502,1.0000
634.9891,-479.6334,412.4072,0.0000,0.000,8.194,7.784,1.0000
639.9146,-478.1814,417.1138,0.0000,0.000,8.146,7.935,1.0000
644.6745,-475.4769,421.0308,0.0000,0.000,8.297,7.804,1.0000
649.5176,-471.7028,424.0658,0.0000,0.000,7.873,7.777,1.0000
654.5505,-467.2161,426.3461,0.0000,0.000,8.067,7.112,1.0000
659.6650,-462.3774,428.0028,0.0000,0.000,7.268,6.951,1.0000
664.7024,-457.4752,429.1623,0.0000,0.000,6.305,6.872,1.0000
669.6804,-452.5575,429.9341,0.0000,0.000,5.900,6.475,1.0000
674.6404,-447.6217,430.4240,0.0000,0.000,6.041,6.060,1.0000
679.6062,-442.6657,430.7366,0.0000,0.000,6.401,5.877,1.0000
684.5854,-437.6903,430.9317,0.0000,0.000,6.456,5.862,1.0000
689.5767,-432.6999,431.0198,0.0000,0.000,6.306,5.880,1.0000
694.5777,-427.6989,431.0090,0.0000,0.000,6.157,5.899,1.0000
699.5857,-422.6919,430.9071,0.0000,0.000,5.976,5.951,1.0000
704.5976,-417.6834,430.7223,0.0000,0.000,5.795,6.003,1.0000
709.6098,-412.6779,430.4625,0.0000,0.000,5.687,6.007,1.0000
714.6187,-407.6797,430.1353,0.0000,0.000,5.608,5.992,1.0000
719.6230,-402.6908,429.7433,0.0000,0.000,5.529,5.978,1.0000
724.6233,-397.7115,429.2859,0.0000,0.000,5.621,5.817,1.0000
729.6201,-392.7422,428.7626,0.0000,0.000,5.724,5.647,1.0000
734.6141,-387.7832,428.1726,0.0000,0.000,5.829,5.499,1.0000
739.6059,-382.8348,427.5153,0.0000,0.000,5.939,5.395,1.0000
744.5962,-377.8975,426.7902,0.0000,0.000,5.955,5.325,1.0000
