# Albert Park Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
404.9593,-261.2269,288.2901,0.0000,0.000,6.941,6.749,1.0000
409.9597,-259.2316,292.8752,0.0000,0.000,6.862,6.828,1.0000
414.9498,-257.2706,297.4638,0.0000,0.000,6.732,6.958,1.0000
419.9341,-255.4349,302.0978,0.0000,0.000,6.686,7.004,1.0000
424.9229,-253.8110,306.8149,0.0000,0.000,6.691,6.999,1.0000
429.9188,-252.4072,311.6095,0.0000,0.000,6.719,6.971,1.0000
434.9217,-251.2205,316.4695,0.0000,0.000,6.822,6.868,1.0000
439.9305,-250.2474,321.3830,0.0000,0.000,6.846,6.844,1.0000
444.9435,-249.4849,326.3376,0.0000,0.000,6.823,6.867,1.0000
449.9582,-248.9296,331.3215,0.0000,0.000,6.780,6.910,1.0000
454.9715,-248.5783,336.3224,0.0000,0.000,6.720,6.970,1.0000
459.9797,-248.4278,341.3284,0.0000,0.000,6.667,7.023,1.0000
464.9792,-248.4752,346.3277,0.0000,0.000,6.712,6.978,1.0000
469.9705,-248.7198,351.3130,0.0000,0.000,6.757,6.933,1.0000
474.9559,-249.1622,356.2787,0.0000,0.000,6.802,6.888,1.0000
479.9378,-249.8031,361.2193,0.0000,0.000,6.712,6.978,1.0000
484.9192,-250.6429,366.1293,0.0000,0.000,6.617,7.073,1.0000
489.9028,-251.6822,371.0033,0.0000,0.000,6.541,7.149,1.0000
494.8917,-252.9217,375.8358,0.0000,0.000,6.607,7.083,1.0000
499.8891,-254.3619,380.6212,0.0000,0.000,6.689,7.001,1.0000
504.8979,-256.0033,385.3534,0.0000,0.000,6.782,6.908,1.0000
509.9149,-257.8461,390.0198,0.0000,0.000,6.855,6.835,1.0000
514.9351,-259.8903,394.6049,0.0000,0.000,6.927,6.763,1.0000
519.9540,-262.1358,399.0934,0.0000,0.000,6.979,6.711,1.0000
524.9680,-264.5826,403.4698,0.0000,0.000,6.848,6.842,1.0000
529.9745,-267.2308,407.7187,0.0000,0.000,6.722,6.968,1.0000
534.9722,-270.0802,411.8244,0.0000,0.000,6.663,7.027,1.0000
539.9609,-273.1309,415.7717,0.0000,0.000,6.612,7.078,1.0000
544.9423,-276.3824,419.5456,0.0000,0.000,6.610,7.080,1.0000
549.9233,-279.8146,423.1554,0.0000,0.000,6.607,7.083,1.0000
554.9118,-283.3807,426.6436,0.0000,0.000,6.615,7.075,1.0000
559.9089,-287.0321,430.0550,0.0000,0.000,6.714,6.976,1.0000
564.9111,-290.7206,433.4340,0.0000,0.000,6.812,6.878,1.0000
569.9151,-294.4173,436.8065,0.0000,0.000,6.911,6.779,1.0000
574.9201,-298.1200,440.1740,0.0000,0.000,6.948,6.742,1.0000
579.9254,-301.8282,443.5359,0.0000,0.000,6.959,6.731,1.0000
584.9303,-305.5412,446.8920,0.0000,0.000,6.969,6.721,1.0000
589.9345,-309.2583,450.2423,0.0000,0.000,6.980,6.710,1.0000
