# Suzuka Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
405.0811,266.1921,-307.8757,0.0000,0.000,7.070,6.975,1.0000
410.0820,269.4257,-311.6906,0.0000,0.000,7.031,6.948,1.0000
415.0830,272.6587,-315.5060,0.0000,0.000,6.992,6.921,1.0000
420.0839,275.8911,-319.3219,0.0000,0.000,6.953,6.894,1.0000
425.0849,279.1229,-323.1383,0.0000,0.000,6.915,6.868,1.0000
430.0858,282.3542,-326.9552,0.0000,0.000,6.876,6.841,1.0000
435.0867,285.5847,-330.7726,0.0000,0.000,6.837,6.814,1.0000
440.0877,288.8147,-334.5905,0.0000,0.000,6.798,6.787,1.0000
445.0886,292.0441,-338.4090,0.0000,0.000,6.760,6.761,1.0000
450.0895,295.2728,-342.2280,0.0000,0.000,6.721,6.734,1.0000
455.0904,298.5008,-346.0475,0.0000,0.000,6.682,6.707,1.0000
460.0913,301.7282,-349.8675,0.0000,0.000,6.644,6.680,1.0000
465.0922,304.9549,-353.6881,0.0000,0.000,6.605,6.653,1.0000
470.0931,308.1810,-357.5093,0.0000,0.000,6.566,6.627,1.0000
475.0939,311.4064,-361.3311,0.0000,0.000,6.527,6.600,1.0000
480.0948,314.6310,-365.1534,0.0000,0.000,6.489,6.573,1.0000
485.0957,317.8550,-368.9763,0.0000,0.000,6.450,6.546,1.0000
490.0965,321.0783,-372.7997,0.0000,0.000,6.411,6.519,1.0000
495.0973,324.3009,-376.6238,0.0000,0.000,6.372,6.493,1.0000
500.0982,327.5227,-380.4485,0.0000,0.000,6.334,6.466,1.0000
505.0990,330.7438,-384.2738,0.0000,0.000,6.295,6.439,1.0000
510.0998,333.9642,-388.0997,0.0000,0.000,6.256,6.412,1.0000
515.1006,337.1838,-391.9262,0.0000,0.000,6.217,6.386,1.0000
520.1014,340.4026,-395.7533,0.0000,0.000,6.179,6.359,1.0000
525.1022,343.6207,-399.5811,0.0000,0.000,6.140,6.332,1.0000
530.1030,346.8380,-403.4095,0.0000,0.000,6.101,6.305,1.0000
535.1038,350.0545,-407.2386,0.0000,0.000,6.063,6.278,1.0000
540.1046,353.2707,-411.0679,0.0000,0.000,6.024,6.252,1.0000
545.1054,356.4871,-414.8972,0.0000,0.000,5.985,6.225,1.0000
550.1062,359.7042,-418.7258,0.0000,0.000,5.946,6.198,1.0000
555.1071,362.9227,-422.5534,0.0000,0.000,5.908,6.171,1.0000
560.1081,366.1430,-426.3796,0.0000,0.000,5.869,6.144,1.0000
565.1091,369.3657,-430.2038,0.0000,0.000,5.830,6.118,1.0000
570.1103,372.5914,-434.0256,0.0000,0.000,5.791,6.091,1.0000
575.1116,375.8207,-437.8445,0.0000,0.000,5.753,6.064,1.0000
580.1130,379.0541,-441.6602,0.0000,0.000,5.714,6.037,1.0000
585.1146,382.2922,-445.4722,0.0000,0.000,5.675,6.011,1.0000
590.1164,385.5355,-449.2799,0.0000,0.000,5.637,5.984,1.0000
595.1185,388.7846,-453.0831,0.0000,0.000,5.598,5.957,1.0000
600.1208,392.0401,-456.8811,0.0000,0.000,5.559,5.930,1.0000
605.1234,395.3024,-460.6736,0.0000,0.000,5.520,5.903,1.0000
